2.00, 742.07
2.02, 780.21
2.04, 820.32
2.06, 862.48
2.08, 906.82
2.10, 953.43
2.12, 1002.44
2.14, 1053.97
2.16, 1108.14
2.18, 1165.10
2.20, 1224.99
2.22, 1287.96
2.24, 1354.17
2.26, 1423.77
2.28, 1496.96
2.30, 1573.91
2.32, 1654.81
2.34, 1739.87
2.36, 1829.31
2.38, 1923.34
2.40, 2022.21
2.42, 2126.15
2.44, 2235.44
2.46, 2350.35
2.48, 2471.17
2.50, 2598.19
2.52, 2731.75
2.54, 2872.16
2.56, 3019.80
2.58, 3175.03
2.60, 3338.23
2.62, 3509.83
2.64, 3690.24
2.66, 3879.93
2.68, 4079.37
2.70, 4289.06
2.72, 4509.53
2.74, 4741.34
2.76, 4985.06
2.78, 5241.30
2.80, 5510.72
2.82, 5793.99
2.84, 6091.81
2.86, 6404.95
2.88, 6734.18
2.90, 7080.34
2.92, 7444.29
2.94, 7826.95
2.96, 8229.27
2.98, 8652.28
3.00, 9097.03
3.02, 9564.65
3.04, 10056.30
3.06, 10573.22
3.08, 11116.71
3.10, 11688.14
3.12, 12288.95
3.14, 12920.63
3.16, 13584.79
3.18, 14283.09
3.20, 15017.28
3.22, 15789.21
3.24, 16600.82
3.26, 17454.15
3.28, 18351.34
3.30, 19294.65
3.32, 20286.45
3.34, 21329.23
3.36, 22425.62
3.38, 23578.36
3.40, 24790.35
3.42, 26064.65
3.44, 27404.44
3.46, 28813.11
3.48, 30294.19
3.50, 31851.39
3.52, 33488.65
3.54, 35210.06
3.56, 37019.95
3.58, 38922.89
3.60, 40923.63
3.62, 43027.22
3.64, 45238.94
3.66, 47564.35
3.68, 50009.30
3.70, 52579.92
3.72, 55282.68
3.74, 58124.36
3.76, 61112.12
3.78, 64253.46
3.80, 67556.27
3.82, 71028.85
3.84, 74679.94
3.86, 78518.70
3.88, 82554.78
3.90, 86798.33
3.92, 91260.01
3.94, 95951.04
3.96, 100883.19
3.98, 106068.88
4.01, 111521.12
4.03, 117253.62
4.05, 123280.79
4.07, 129617.77
4.09, 136280.49
4.11, 143285.70
4.13, 150650.99
4.15, 158394.88
4.17, 166536.83
4.19, 175097.29
4.21, 184097.79
4.23, 193560.94
4.25, 203510.52
4.27, 213971.54
4.29, 224970.29
4.31, 236534.40
4.33, 248692.94
4.35, 261476.47
4.37, 274917.10
4.39, 289048.62
4.41, 303906.54
4.43, 319528.20
4.45, 335952.86
4.47, 353221.79
4.49, 371378.40
4.51, 390468.30
4.53, 410539.48
4.55, 431642.38
4.57, 453830.03
4.59, 477158.18
4.61, 501685.47
4.63, 527473.52
4.65, 554587.16
4.67, 583094.52
4.69, 613067.24
4.71, 644580.63
4.73, 677713.91
4.75, 712550.33
4.77, 749177.45
4.79, 787687.30
4.81, 828176.66
4.83, 870747.30
4.85, 915506.18
4.87, 962565.81
4.89, 1012044.42
4.91, 1064066.38
4.93, 1118762.42
4.95, 1176269.99
4.97, 1236733.61
4.99, 1300305.24
5.01, 1367144.62
5.03, 1437419.74
5.05, 1511307.20
5.07, 1588992.69
5.09, 1670671.43
5.11, 1756548.69
5.13, 1846840.29
5.15, 1941773.13
5.17, 2041585.79
5.19, 2146529.10
5.21, 2256866.80
5.23, 2372876.17
5.25, 2494848.75
